CCN,Hospital Name,Street Address,City,State,Zip Code,Telephone Number,Hospital Type,Effective Date of Certification,full_address,latitude,longitude
231332,UP HEALTH SYSTEM - BELL,901 LAKESHORE DR,ISHPEMING,MI,49849,(906) 485-2200,Critical Access,01/01/2006,"901 LAKESHORE DR, ISHPEMING, MI 49849",46.505197,-87.6843305
231333,COMMUNITY HOSPITAL,200 S MAIN,WATERVLIET,MI,49098,(269) 463-3158,Critical Access,09/01/2006,"200 S MAIN, WATERVLIET, MI 49098",42.185797,-86.261027
231334,ONTONAGON COMMUNITY AND ASPIRUS PARTNERS,601 S SEVENTH ST,ONTONAGON,MI,49953,(906) 884-8000,Critical Access,01/01/2008,"601 S SEVENTH ST, ONTONAGON, MI 49953",,
231335,HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,MI,49868,(906) 293-9200,Critical Access,06/01/2008,"502 W HARRIE ST, NEWBERRY, MI 49868",46.3534962,-85.5154705
231336,SPARROW CLINTON HOSPITAL,805 S DEWITT RD,SAINT JOHNS,MI,48879,(989) 224-6881,Critical Access,07/01/2008,"805 S DEWITT RD, SAINT JOHNS, MI 48879",,
231337,Hills and Dales General Hospital,4675 HILL ST,CASS CITY,MI,48726,(989) 872-2121,Critical Access,04/01/2009,"4675 HILL ST, CASS CITY, MI 48726",43.6041352,-83.182279
232000,BATTLE CREEK VA MEDICAL CENTER,5500 ARMSTRONG RD,BATTLE CREEK,MI,49037,(269) 966-5600,Short Term,11/16/1965,"5500 ARMSTRONG RD, BATTLE CREEK, MI 49037",42.3421305,-85.2917401
232002,JOHN D. DINGELL VA MEDICAL CENTER,4646 JOHN R ST,DETROIT,MI,48201,(313) 576-1000,Short Term,11/16/1965,"4646 JOHN R ST, DETROIT, MI 48201",42.3552245,-83.0589657
232003,VA ANN ARBOR HEALTHCARE SYSTEM,2215 FULLER RD,ANN ARBOR,MI,48105,(734) 769-7100,Short Term,11/16/1965,"2215 FULLER RD, ANN ARBOR, MI 48105",42.2861215,-83.7145253
232004,AMEDISYS HOME HEALTH CARE,4646 JOHN R ST,DETROIT,MI,48201,(313) 576-1000,Short Term,11/16/1965,"4646 JOHN R ST, DETROIT, MI 48201",42.3552245,-83.0589657
232006,OSCAR G. JOHNSON VA MEDICAL CENTER,325 E H ST,IRON MOUNTAIN,MI,49801,(906) 774-3300,Short Term,11/16/1965,"325 E H ST, IRON MOUNTAIN, MI 49801",45.8102828,-88.0614785
234002,PINE REST CHRISTIAN HOSPITAL,300 68TH ST SE,GRAND RAPIDS,MI,49548,(616) 455-5000,Psychiatric,11/16/1965,"300 68TH ST SE, GRAND RAPIDS, MI 49548",42.8399694,-85.6575238
234006,HAVENWYCK HOSPITAL,1025 S SASHABAW RD,AUBURN HILLS,MI,48326,(248) 373-9200,Psychiatric,01/01/1984,"1025 S SASHABAW RD, AUBURN HILLS, MI 48326",,
234011,FOREST VIEW HOSPITAL,1055 MEDICAL PARK DR SE,GRAND RAPIDS,MI,49546,(616) 942-9610,Psychiatric,07/01/1986,"1055 MEDICAL PARK DR SE, GRAND RAPIDS, MI 49546",42.944693,-85.5572636
234017,HAWTHORN CENTER,18471 HAGGERTY RD,NORTHVILLE,MI,48168,(248) 735-6300,Psychiatric,12/17/1990,"18471 HAGGERTY RD, NORTHVILLE, MI 48168",42.4191188,-83.4352587
234018,STONE CREST CENTER,15000 GRATIOT AVE,DETROIT,MI,48205,(313) 521-9300,Psychiatric,07/19/1991,"15000 GRATIOT AVE, DETROIT, MI 48205",42.4434624,-82.9711889
234019,WALTER P. REUTHER PSYCHIATRIC HOSPITAL,30901 PALMER RD,WESTLAND,MI,48186,(734) 722-4500,Psychiatric,06/25/1992,"30901 PALMER RD, WESTLAND, MI 48186",42.2965547,-83.3457897
234020,CENTER FOR FORENSIC PSYCHIATRY,8303 PLATT RD,SALINE,MI,48176,(734) 429-2531,Psychiatric,06/25/1992,"8303 PLATT RD, SALINE, MI 48176",,
234021,HARBOR OAKS HOSPITAL,35033 23 MILE RD,NEW BALTIMORE,MI,48047,(586) 725-5777,Psychiatric,06/17/1993,"35033 23 MILE RD, NEW BALTIMORE, MI 48047",42.6760668,-82.756771
234022,KALAMAZOO PSYCHIATRIC HOSPITAL,1312 OAKLAND DR,KALAMAZOO,MI,49008,(269) 337-3100,Psychiatric,05/11/1995,"1312 OAKLAND DR, KALAMAZOO, MI 49008",42.2790519,-85.60523
234023,CARO CENTER,2000 CHAMBERS RD,CARO,MI,48723,(989) 673-3191,Psychiatric,07/11/1995,"2000 CHAMBERS RD, CARO, MI 48723",43.4499475,-83.4472712
234025,TEAM WELLNESS CENTER,2001 PERING ST,DETROIT,MI,48212,(313) 365-8900,Psychiatric,10/29/2015,"2001 PERING ST, DETROIT, MI 48212",,
234026,HENRY FORD BEHAVIORAL HEALTH - MT CLEMENS,215 NORTH AVE,MOUNT CLEMENS,MI,48043,(586) 466-9600,Psychiatric,03/24/2022,"215 NORTH AVE, MOUNT CLEMENS, MI 48043",42.6067352,-82.8820267
